Country/Region,Confirmed,Deaths,Recovered,control_efficiency,code
Afghanistan,37953,1385,28016,20.2281588447653,AFG
Albania,8275,245,4184,17.0775510204082,ALB
Algeria,41068,1424,28874,20.2766853932584,DZA
Andorra,1045,53,875,16.5094339622642,AND
Angola,2134,94,814,8.65957446808511,AGO
Antigua and Barbuda,94,3,89,29.6666666666667,ATG
Argentina,336802,6848,245781,35.8909170560748,ARG
Armenia,42616,850,35907,42.2435294117647,ARM
Australia,24811,502,18758,37.3665338645418,AUS
Austria,25062,732,21406,29.2431693989071,AUT
Azerbaijan,35105,515,32842,63.7708737864078,AZE
Bahamas,1703,27,221,8.18518518518519,BHS
Bahrain,49038,183,45589,249.120218579235,BHR
Bangladesh,292625,3907,175567,44.936524187356,BGD
Barbados,158,7,126,18,BRB
Belarus,70285,637,68577,107.656200941915,BLR
Belgium,81468,9988,18204,1.82258710452543,BEL
Belize,668,6,44,7.33333333333333,BLZ
Benin,2115,39,1705,43.7179487179487,BEN
Bhutan,155,0,112,155000,BTN
Bolivia,108427,4442,43887,9.88000900495272,BOL
Bosnia and Herzegovina,17715,532,11329,21.2951127819549,BIH
Botswana,1308,3,136,45.3333333333333,BWA
Brazil,3582362,114250,2913966,25.5051728665208,BRA
Brunei,143,3,139,46.3333333333333,BRN
Bulgaria,15131,539,10282,19.0760667903525,BGR
Burkina Faso,1297,55,1034,18.8,BFA
Burma,441,6,338,56.3333333333333,MMR
Burundi,429,1,336,336,BDI
Cabo Verde,3455,37,2538,68.5945945945946,CPV
Cambodia,273,0,263,273000,KHM
Cameroon,18762,408,16540,40.5392156862745,CMR
Canada,126560,9117,112621,12.3528572995503,CAN
Central African Republic,4679,61,1755,28.7704918032787,CAF
Chad,982,76,869,11.4342105263158,TCD
Chile,395708,10792,369730,34.2596367679763,CHL
Colombia,522138,16568,348940,21.0610816030903,COL
Comoros,417,7,396,56.5714285714286,COM
Congo (Brazzaville),3850,77,1625,21.1038961038961,COG
Congo (Kinshasa),9811,251,8920,35.5378486055777,COK
Costa Rica,33084,348,10372,29.8045977011494,CRI
Croatia,7900,170,5678,33.4,HRV
Cuba,3617,89,3006,33.7752808988764,CUB
Cyprus,1417,20,878,43.9,CYP
Czech Republic,21790,411,16087,39.1411192214112,CZE
Denmark,16637,622,14258,22.9228295819936,DNK
Diamond Princess,712,13,651,50.0769230769231,
Djibouti,5382,60,5233,87.2166666666667,DJI
Dominica,19,0,18,19000,DMA
Dominican Republic,90561,1554,59949,38.5772200772201,DOM
Ecuador,107089,6277,87889,14.0017524295045,ECU
Egypt,97237,5243,65118,12.4199885561701,EGY
El Salvador,24420,654,12021,18.3807339449541,SLV
Equatorial Guinea,4926,83,3795,45.7228915662651,GNQ
Eritrea,306,0,274,306000,ERI
Estonia,2265,63,2024,32.1269841269841,EST
Eswatini,4189,83,2762,33.2771084337349,SWZ
Ethiopia,39033,662,14480,21.8731117824773,ETH
Fiji,28,1,23,23,FJI
Finland,7906,334,7100,21.2574850299401,FIN
France,275562,30517,85102,2.78867516466232,FRA
Gabon,8388,53,6734,127.056603773585,GAB
Gambia,2437,84,455,5.41666666666667,GMB
Georgia,1394,17,1132,66.5882352941176,GEO
Germany,233861,9272,207606,22.3906384814495,DEU
Ghana,43325,261,41408,158.651340996169,GHA
Greece,8381,240,1347,5.6125,GRC
Grenada,24,0,24,24000,GRD
Guatemala,67856,2580,56277,21.8127906976744,GTM
Guinea,8932,53,7648,144.301886792453,GIN
Guinea-Bissau,2149,33,1015,30.7575757575758,GNB
Guyana,925,31,433,13.9677419354839,GUY
Haiti,8050,196,5447,27.7908163265306,HTI
Holy See,12,0,12,12000,VAT
Honduras,53983,1643,8449,5.14242239805234,HND
Hong Kong,4657,77,3974,51.6103896103896,HKG
Hungary,5133,611,3692,6.04255319148936,HUN
Iceland,2058,10,1936,193.6,ISL
India,3044940,56706,2280566,40.2173667689486,IND
Indonesia,151498,6594,105198,15.9535941765241,IDN
Iran,356792,20502,307702,15.0083894254219,IRN
Iraq,201050,6353,143393,22.5709113804502,IRQ
Ireland,27908,1777,23364,13.1480022509848,IRL
Israel,101933,819,78651,96.032967032967,ISR
Italy,258136,35430,205203,5.7917866215072,ITA
Ivory Coast,17374,113,15106,133.681415929204,CIV
Jamaica,1346,16,788,49.25,JAM
Japan,61916,1179,47418,40.2188295165394,JPN
Jordan,1576,11,1268,115.272727272727,JOR
Kazakhstan,104543,1415,91089,64.373851590106,KAZ
Kenya,32118,542,18453,34.0461254612546,KEN
Kosovo,12168,448,8149,18.1897321428571,KOR
Kuwait,79957,513,71770,139.90253411306,KWT
Kyrgyzstan,42889,1055,36056,34.1763033175355,KGZ
Laos,22,0,20,22000,LAO
Latvia,1333,33,1093,33.1212121212121,LVA
Lebanon,12191,121,3346,27.6528925619835,LBN
Lesotho,1015,30,472,15.7333333333333,LSO
Liberia,1286,82,816,9.95121951219512,LBR
Libya,10437,188,1085,5.77127659574468,LBY
Liechtenstein,99,1,88,88,LIE
Lithuania,2594,84,1766,21.0238095238095,LTU
Luxembourg,7762,124,6969,56.2016129032258,LUX
Macau,46,0,46,46000,MAC
Madagascar,14277,178,13332,74.8988764044944,MDG
Mainland China,84951,4634,79904,17.2429866206301,CHN
Malawi,5382,168,2998,17.8452380952381,MWI
Malaysia,9257,125,8949,71.592,MYS
Maldives,6660,26,4113,158.192307692308,MDV
Mali,2699,125,2010,16.08,MLI
Malta,1577,10,901,90.1,MLT
Mauritania,6894,158,6203,39.2594936708861,MRT
Mauritius,346,10,334,33.4,MUS
Mexico,556216,60254,453104,7.51989909383609,MEX
Moldova,33072,935,22683,24.2598930481283,MDA
Monaco,154,4,116,29,MCO
Mongolia,298,0,288,298000,MNG
Montenegro,4313,84,3333,39.6785714285714,MNE
Morocco,50812,858,35040,40.8391608391608,MAR
Mozambique,3304,20,1474,73.7,MOZ
MS Zaandam,9,2,0,0,
Namibia,5538,46,2460,53.4782608695652,NAM
Nepal,31117,146,18350,125.684931506849,NPL
Netherlands,68051,6225,633,0.101686746987952,NLD
New Zealand,1674,22,1538,69.9090909090909,NZL
Nicaragua,4311,133,2913,21.9022556390977,NIC
Niger,1172,69,1083,15.695652173913,NER
Nigeria,51905,997,38767,38.8836509528586,NGA
North Macedonia,13458,563,10052,17.854351687389,MKD
Norway,10299,264,9150,34.6590909090909,NOR
Oman,83769,609,78386,128.712643678161,OMN
Pakistan,292174,6231,275317,44.185042529289,PAK
Panama,85480,1878,60528,32.2300319488818,PAN
Papua New Guinea,361,4,198,49.5,PNG
Paraguay,12974,192,7197,37.484375,PRY
Peru,576067,27245,380730,13.9743072123325,PER
Philippines,187249,2966,114921,38.7461227242077,PHL
Poland,61181,1951,41661,21.3536647872886,POL
Portugal,55452,1794,40652,22.659977703456,PRT
Qatar,116765,193,113531,588.243523316062,QAT
Romania,77544,3233,35079,10.8502938447263,ROU
Russia,949531,16268,765754,47.0711826899434,RUS
Rwanda,2889,11,1754,159.454545454545,RWA
Saint Kitts and Nevis,17,0,17,17000,KNA
Saint Lucia,26,0,25,26000,LCA
Saint Vincent and the Grenadines,58,0,56,58000,VCT
San Marino,704,42,657,15.6428571428571,SMR
Sao Tome and Principe,892,15,831,55.4,STP
Saudi Arabia,306370,3619,278441,76.9386570875933,SAU
Senegal,12850,266,8165,30.6954887218045,SEN
Serbia,30548,695,0,0,SRB
Seychelles,132,0,126,132000,SYC
Sierra Leone,1980,69,1545,22.3913043478261,SLE
Singapore,56266,27,53920,1997.03703703704,SGP
Slovakia,3316,33,2147,65.0606060606061,SVK
Slovenia,2617,131,2079,15.8702290076336,SVN
Somalia,3269,93,2396,25.7634408602151,SOM
South Africa,607045,12987,504127,38.8178178178178,ZAF
South Korea,17399,309,14200,45.9546925566343,KOR
South Sudan,2497,47,1290,27.4468085106383,SSD
Spain,386054,28838,150376,5.21450863444067,ESP
Sri Lanka,2947,12,2798,233.166666666667,LKA
Sudan,12682,815,6492,7.96564417177914,SDN
Suriname,3569,57,2559,44.8947368421053,SUR
Sweden,86068,5810,0,0,SWE
Switzerland,39627,2000,34100,17.05,CHE
Syria,2143,85,490,5.76470588235294,SYR
Taiwan,487,7,457,65.2857142857143,TWN
Tajikistan,8277,66,7072,107.151515151515,TJK
Tanzania,509,21,183,8.71428571428571,TZA
Thailand,3390,58,3220,55.5172413793103,THA
Timor-Leste,26,0,25,26000,TLS
Togo,1275,27,903,33.4444444444444,TGO
Trinidad and Tobago,930,13,165,12.6923076923077,TTO
Tunisia,2738,68,1434,21.0882352941176,TUN
Turkey,257032,6102,236370,38.7364798426745,TUR
Uganda,2166,20,1199,59.95,UGA
UK,326595,41509,1547,0.0372690259943627,GBR
Ukraine,105337,2286,53458,23.3849518810149,UKR
United Arab Emirates,66617,372,58408,157.010752688172,ARE
Uruguay,1521,42,1264,30.0952380952381,URY
US,5667112,176353,1985484,11.2585779657845,USA
Uzbekistan,38532,267,34576,129.498127340824,UZB
Venezuela,38957,323,28453,88.0897832817337,VEN
Vietnam,1014,26,563,21.6538461538462,VNM
West Bank and Gaza,18476,125,11103,88.824,PSE
Western Sahara,10,1,8,8,ESH
Yemen,1907,546,1066,1.95238095238095,YEM
Zambia,10831,279,9942,35.6344086021505,ZMB
Zimbabwe,5893,153,4629,30.2549019607843,ZWE