Country/Region,Confirmed,Deaths,Recovered,code
Afghanistan,37953,1385,28016,AFG
Albania,8275,245,4184,ALB
Algeria,41068,1424,28874,DZA
Andorra,1045,53,875,AND
Angola,2134,94,814,AGO
Antigua and Barbuda,94,3,89,ATG
Argentina,336802,6848,245781,ARG
Armenia,42616,850,35907,ARM
Australia,24811,502,18758,AUS
Austria,25062,732,21406,AUT
Azerbaijan,35105,515,32842,AZE
Bahamas,1703,27,221,BHS
Bahrain,49038,183,45589,BHR
Bangladesh,292625,3907,175567,BGD
Barbados,158,7,126,BRB
Belarus,70285,637,68577,BLR
Belgium,81468,9988,18204,BEL
Belize,668,6,44,BLZ
Benin,2115,39,1705,BEN
Bhutan,155,0,112,BTN
Bolivia,108427,4442,43887,BOL
Bosnia and Herzegovina,17715,532,11329,BIH
Botswana,1308,3,136,BWA
Brazil,3582362,114250,2913966,BRA
Brunei,143,3,139,BRN
Bulgaria,15131,539,10282,BGR
Burkina Faso,1297,55,1034,BFA
Burma,441,6,338,MMR
Burundi,429,1,336,BDI
Cabo Verde,3455,37,2538,CPV
Cambodia,273,0,263,KHM
Cameroon,18762,408,16540,CMR
Canada,126560,9117,112621,CAN
Central African Republic,4679,61,1755,CAF
Chad,982,76,869,TCD
Chile,395708,10792,369730,CHL
Colombia,522138,16568,348940,COL
Comoros,417,7,396,COM
Congo (Brazzaville),3850,77,1625,COG
Congo (Kinshasa),9811,251,8920,COK
Costa Rica,33084,348,10372,CRI
Croatia,7900,170,5678,HRV
Cuba,3617,89,3006,CUB
Cyprus,1417,20,878,CYP
Czech Republic,21790,411,16087,CZE
Denmark,16637,622,14258,DNK
Diamond Princess,712,13,651,
Djibouti,5382,60,5233,DJI
Dominica,19,0,18,DMA
Dominican Republic,90561,1554,59949,DOM
Ecuador,107089,6277,87889,ECU
Egypt,97237,5243,65118,EGY
El Salvador,24420,654,12021,SLV
Equatorial Guinea,4926,83,3795,GNQ
Eritrea,306,0,274,ERI
Estonia,2265,63,2024,EST
Eswatini,4189,83,2762,SWZ
Ethiopia,39033,662,14480,ETH
Fiji,28,1,23,FJI
Finland,7906,334,7100,FIN
France,275562,30517,85102,FRA
Gabon,8388,53,6734,GAB
Gambia,2437,84,455,GMB
Georgia,1394,17,1132,GEO
Germany,233861,9272,207606,DEU
Ghana,43325,261,41408,GHA
Greece,8381,240,1347,GRC
Grenada,24,0,24,GRD
Guatemala,67856,2580,56277,GTM
Guinea,8932,53,7648,GIN
Guinea-Bissau,2149,33,1015,GNB
Guyana,925,31,433,GUY
Haiti,8050,196,5447,HTI
Holy See,12,0,12,VAT
Honduras,53983,1643,8449,HND
Hong Kong,4657,77,3974,HKG
Hungary,5133,611,3692,HUN
Iceland,2058,10,1936,ISL
India,3044940,56706,2280566,IND
Indonesia,151498,6594,105198,IDN
Iran,356792,20502,307702,IRN
Iraq,201050,6353,143393,IRQ
Ireland,27908,1777,23364,IRL
Israel,101933,819,78651,ISR
Italy,258136,35430,205203,ITA
Ivory Coast,17374,113,15106,CIV
Jamaica,1346,16,788,JAM
Japan,61916,1179,47418,JPN
Jordan,1576,11,1268,JOR
Kazakhstan,104543,1415,91089,KAZ
Kenya,32118,542,18453,KEN
Kosovo,12168,448,8149,KOR
Kuwait,79957,513,71770,KWT
Kyrgyzstan,42889,1055,36056,KGZ
Laos,22,0,20,LAO
Latvia,1333,33,1093,LVA
Lebanon,12191,121,3346,LBN
Lesotho,1015,30,472,LSO
Liberia,1286,82,816,LBR
Libya,10437,188,1085,LBY
Liechtenstein,99,1,88,LIE
Lithuania,2594,84,1766,LTU
Luxembourg,7762,124,6969,LUX
Macau,46,0,46,MAC
Madagascar,14277,178,13332,MDG
Mainland China,84951,4634,79904,CHN
Malawi,5382,168,2998,MWI
Malaysia,9257,125,8949,MYS
Maldives,6660,26,4113,MDV
Mali,2699,125,2010,MLI
Malta,1577,10,901,MLT
Mauritania,6894,158,6203,MRT
Mauritius,346,10,334,MUS
Mexico,556216,60254,453104,MEX
Moldova,33072,935,22683,MDA
Monaco,154,4,116,MCO
Mongolia,298,0,288,MNG
Montenegro,4313,84,3333,MNE
Morocco,50812,858,35040,MAR
Mozambique,3304,20,1474,MOZ
MS Zaandam,9,2,0,
Namibia,5538,46,2460,NAM
Nepal,31117,146,18350,NPL
Netherlands,68051,6225,633,NLD
New Zealand,1674,22,1538,NZL
Nicaragua,4311,133,2913,NIC
Niger,1172,69,1083,NER
Nigeria,51905,997,38767,NGA
North Macedonia,13458,563,10052,MKD
Norway,10299,264,9150,NOR
Oman,83769,609,78386,OMN
Pakistan,292174,6231,275317,PAK
Panama,85480,1878,60528,PAN
Papua New Guinea,361,4,198,PNG
Paraguay,12974,192,7197,PRY
Peru,576067,27245,380730,PER
Philippines,187249,2966,114921,PHL
Poland,61181,1951,41661,POL
Portugal,55452,1794,40652,PRT
Qatar,116765,193,113531,QAT
Romania,77544,3233,35079,ROU
Russia,949531,16268,765754,RUS
Rwanda,2889,11,1754,RWA
Saint Kitts and Nevis,17,0,17,KNA
Saint Lucia,26,0,25,LCA
Saint Vincent and the Grenadines,58,0,56,VCT
San Marino,704,42,657,SMR
Sao Tome and Principe,892,15,831,STP
Saudi Arabia,306370,3619,278441,SAU
Senegal,12850,266,8165,SEN
Serbia,30548,695,0,SRB
Seychelles,132,0,126,SYC
Sierra Leone,1980,69,1545,SLE
Singapore,56266,27,53920,SGP
Slovakia,3316,33,2147,SVK
Slovenia,2617,131,2079,SVN
Somalia,3269,93,2396,SOM
South Africa,607045,12987,504127,ZAF
South Korea,17399,309,14200,KOR
South Sudan,2497,47,1290,SSD
Spain,386054,28838,150376,ESP
Sri Lanka,2947,12,2798,LKA
Sudan,12682,815,6492,SDN
Suriname,3569,57,2559,SUR
Sweden,86068,5810,0,SWE
Switzerland,39627,2000,34100,CHE
Syria,2143,85,490,SYR
Taiwan,487,7,457,TWN
Tajikistan,8277,66,7072,TJK
Tanzania,509,21,183,TZA
Thailand,3390,58,3220,THA
Timor-Leste,26,0,25,TLS
Togo,1275,27,903,TGO
Trinidad and Tobago,930,13,165,TTO
Tunisia,2738,68,1434,TUN
Turkey,257032,6102,236370,TUR
Uganda,2166,20,1199,UGA
UK,326595,41509,1547,GBR
Ukraine,105337,2286,53458,UKR
United Arab Emirates,66617,372,58408,ARE
Uruguay,1521,42,1264,URY
US,5667112,176353,1985484,USA
Uzbekistan,38532,267,34576,UZB
Venezuela,38957,323,28453,VEN
Vietnam,1014,26,563,VNM
West Bank and Gaza,18476,125,11103,PSE
Western Sahara,10,1,8,ESH
Yemen,1907,546,1066,YEM
Zambia,10831,279,9942,ZMB
Zimbabwe,5893,153,4629,ZWE